décision;motif;siret;nom;code NAF;catégorie juridique;commune
à vérifier;"société déclarée en immobilier (41.10A)";90928462200018;"2n Promotion";41.10A;5710;"Brey-Et-Maison-Du-Bois"
exclue;"organisme public";29250096400013;"Ass Fonciere De Brey Et Maison Du Bois";42.99Z;7323;"Brey-Et-Maison-Du-Bois"
gardée;"";48314468900062;"Charline Roy";86.90E;1000;"Brey-Et-Maison-Du-Bois"
gardée;"";42500117900018;"Claude Villequenault";90.03A;1000;"Brey-Et-Maison-Du-Bois"
exclue;"particulier : location de son logement";53275003100033;"Didier Minniti";68.20A;1000;"Brey-Et-Maison-Du-Bois"
exclue;"société civile immobilière";83790326900012;"Dm Vuez";68.20B;6540;"Brey-Et-Maison-Du-Bois"
exclue;"société civile immobilière";92060649800011;"Du Bief Chaud";68.20B;6540;"Brey-Et-Maison-Du-Bois"
gardée;"";93087601600021;"Elise Malfroy";86.90E;1000;"Brey-Et-Maison-Du-Bois"
gardée;"";40112819400024;"Gaec Des Clochettes Vuez";01.50Z;6533;"Brey-Et-Maison-Du-Bois"
gardée;"";81962294500015;"Gaec Treand";01.41Z;6533;"Brey-Et-Maison-Du-Bois"
gardée;"";53794615400029;"Garage Vuez Dany";45.20A;5499;"Brey-Et-Maison-Du-Bois"
exclue;"particulier producteur d’énergie";93335720400017;"Gerome Jouglet";35.11Z;1000;"Brey-Et-Maison-Du-Bois"
gardée;"";52170285200026;"Godemet Emmanuel";43.39Z;5499;"Brey-Et-Maison-Du-Bois"
à vérifier;"société déclarée en immobilier (68.20B)";45118924500033;"Hauts Doubs Deneigement";68.20B;5499;"Brey-Et-Maison-Du-Bois"
gardée;"";97746854500016;"Heron International";79.12Z;5710;"Brey-Et-Maison-Du-Bois"
gardée;"";90405502700018;"Jacqueline Piot (pontarlier)";02.10Z;1000;"Brey Et Maison Du Bois"
gardée;"";53048380900030;"Kine Du Lac";66.19A;6589;"Brey-Et-Maison-Du-Bois"
exclue;"société civile immobilière";88766471200031;"Lac'Haut-Doubs";68.20B;6540;"Brey-Et-Maison-Du-Bois"
exclue;"société civile immobilière";84363030200019;"Le Depot";68.20B;6540;"Brey-Et-Maison-Du-Bois"
exclue;"société civile immobilière";83802632600010;"Lea";68.20B;6540;"Brey-Et-Maison-Du-Bois"
gardée;"";90203061800026;"Les Bout'Choux";88.91A;5710;"Brey-Et-Maison-Du-Bois"
exclue;"organisme public";21250096100017;"Mairie";84.11Z;7210;"Brey-Et-Maison-Du-Bois"
exclue;"particulier : location de son logement";34153874200022;"Michel Deniset";68.20A;1000;"Brey-Et-Maison-Du-Bois"
gardée;"";79148794500044;"Mont D'Or Paysage";81.30Z;5499;"Brey-Et-Maison-Du-Bois"
gardée;"";50502131100053;"Nadege Lambert";86.90E;1000;"Brey-Et-Maison-Du-Bois"
gardée;"";49483145600038;"Nicolet T.p. - B2m Acacia";43.12A;5499;"Brey-Et-Maison-Du-Bois"
gardée;"";91214684200014;"Podico 2r";43.99C;5710;"Brey-Et-Maison-Du-Bois"
exclue;"société civile";91121499700015;"S.c.c.v La Chouliere";41.10D;6599;"Brey-Et-Maison-Du-Bois"
exclue;"société civile immobilière";74982569100027;"S.c.i Godemet Immo";68.20B;6540;"Brey-Et-Maison-Du-Bois"
gardée;"";83924969500017;"Sas Thionnet Claude";43.22A;5710;"Brey-Et-Maison-Du-Bois"
gardée;"";89298468300011;"Sc Bois";43.32A;5499;"Brey-Et-Maison-Du-Bois"
exclue;"société civile immobilière";83998781500017;"Sci De La Petite Fontaine";68.20B;6540;"Brey-Et-Maison-Du-Bois"
exclue;"organisme public";21250096100033;"Service Bois";02.20Z;7210;"Brey-Et-Maison-Du-Bois"
exclue;"organisme public";21250096100025;"Service Eau Et Assainissement";36.00Z;7210;"Brey-Et-Maison-Du-Bois"
exclue;"société civile immobilière";90399984500014;"Simoes Bonnet";68.20B;6540;"Brey-Et-Maison-Du-Bois"
gardée;"";40901992400011;"Syndicat Pastoral";01.11Z;2900;"Brey-Et-Maison-Du-Bois"
gardée;"";80862784800019;"Alexandre Burri";01.41Z;1000;"Chapelle-Des-Bois"
exclue;"administrations et associations";79084038300018;"Alliance-Liberte";94.99Z;9220;"Chapelle-Des-Bois"
exclue;"particulier : location de son logement";80318770700010;"Anne Blondeau (pessel)";68.20A;1000;"Chapelle-Des-Bois"
gardée;"";43005070800014;"Anne-Marie Bourgeois";02.20Z;1000;"Chapelle-Des-Bois"
exclue;"organisme public";29250138400013;"Asa Des Pres Hauts";42.99Z;7321;"Chapelle-Des-Bois"
exclue;"organisme public";29250123600015;"Asa Du Mont Noir";42.99Z;7321;"Chapelle-Des-Bois"
exclue;"organisme public";29250121000010;"Asa Risoux Milieu Cives";42.99Z;7321;"Chapelle-Des-Bois"
exclue;"administrations et associations";94119686700019;"Association Des Jeunes";94.99Z;9220;"Chapelle-Des-Bois"
exclue;"organisme public";20008066100016;"Association Syndicale Autorisee Du Chalet Riton Et Des Sauges (asa)";42.99Z;7321;"Chapelle-Des-Bois"
exclue;"administrations et associations";43245631700010;"Association Tourisme Vert Et Blanc";94.12Z;9220;"Chapelle-Des-Bois"
gardée;"";88998317700011;"Au Doux Panier";47.11B;5499;"Chapelle-Des-Bois"
gardée;"";53901228600016;"Auberge De La Distillerie";55.10Z;5499;"Chapelle-Des-Bois"
exclue;"particulier : location de son logement";33424294800019;"Bernard Salvi";68.20B;1000;"Chapelle-Des-Bois"
exclue;"particulier : location de son logement";33424294800035;"Bernard Salvi";68.20B;1000;"Chapelle-Des-Bois"
gardée;"";42804918300018;"Berthe Poux";01.41Z;1000;"Chapelle-Des-Bois"
gardée;"";75233519000019;"Bertrand Pagnier";02.20Z;1000;"Chapelle Des Bois"
exclue;"organisme public";26250252900015;"Ccas";88.99B;7361;"Chapelle-Des-Bois"
gardée;"";92445711200010;"Celia Courvoisier";85.51Z;1000;"Chapelle-Des-Bois"
gardée;"";33128925600017;"Chalet Gaillard";55.30Z;9220;"Chapelle-Des-Bois"
gardée;"";81523399400020;"Chalet Gaillard";55.20Z;5499;"Chapelle-Des-Bois"
gardée;"";84268626300018;"Chalet Sport";47.64Z;5499;"Chapelle-Des-Bois"
gardée;"";34372155100012;"Christian Burri";55.20Z;1000;"Chapelle-Des-Bois"
gardée;"";31491826900023;"Christian Zedet";02.20Z;1000;"Chapelle-Des-Bois"
gardée;"";83802200200011;"Christophe Rony";02.10Z;1000;"Chapelle-Des-Bois"
gardée;"";43350735700013;"Claude Jean-Prost";02.20Z;1000;"Chapelle Des Bois"
gardée;"";79172344800019;"Claudie Franjaud (mermet)";02.10Z;1000;"Chapelle-Des-Bois"
gardée;"";80100263500010;"Daniel Mouxaux";02.10Z;1000;"Chapelle-Des-Bois"
gardée;"";41069920100076;"Daniel Pages";02.10Z;1000;"Chapelle-Des-Bois"
gardée;"";30910095600049;"Denis Bauquin";55.20Z;1000;"Chapelle-Des-Bois"
gardée;"";41772936500029;"Denis Courvoisier";01.41Z;1000;"Chapelle-Des-Bois"
gardée;"";99951736000015;"Des Murgers";01.41Z;6533;"Chapelle-Des-Bois"
exclue;"organisme public";21250121700021;"Ecole Primaire Publique";85.20Z;7210;"Chapelle-Des-Bois"
gardée;"";38423198100018;"Ecomusee De Chez Michaud";91.02Z;9220;"Chapelle-Des-Bois"
exclue;"administrations et associations";52804030600029;"Enfants Sourds Du Togo";94.99Z;9220;"Chapelle-Des-Bois"
gardée;"";45124587200028;"Eric Deniset";85.51Z;1000;"Chapelle-Des-Bois"
exclue;"particulier : location de son logement";45124587200036;"Eric Deniset";68.20A;1000;"Chapelle-Des-Bois"
gardée;"";50910448500016;"Eurl La Fromagerie Biologique De Chapelle Des Bois";47.29Z;5499;"Chapelle-Des-Bois"
gardée;"";10716236400015;"Eyeonsite";62.01Z;5710;"Chapelle-Des-Bois"
gardée;"";44491032700030;"Fanny Girod";93.19Z;1000;"Chapelle-Des-Bois"
exclue;"administrations et associations";32733519600017;"Franche Montagne";94.99Z;9220;"Chapelle-Des-Bois"
gardée;"";51200804600017;"Gaec Blondeau";01.41Z;6533;"Chapelle-Des-Bois"
gardée;"";40225052600033;"Gaec De La Combe Des Cives";01.41Z;6533;"Chapelle-Des-Bois"
gardée;"";40902009600015;"Georges Bourgeois";16.10A;1000;"Chapelle-Des-Bois"
gardée;"";40250623200014;"Georges De Laitre";02.20Z;1000;"Chapelle-Des-Bois"
exclue;"particulier : location de son logement";34016831900010;"Gerard Pagnier";68.20B;1000;"Chapelle-Des-Bois"
gardée;"";44435856800012;"Glisses Nordiques";85.51Z;9220;"Chapelle-Des-Bois"
exclue;"société civile";50933380300021;"Grange Dernier Becquet";68.20B;6534;"Chapelle-Des-Bois"
gardée;"";90044212000011;"Griffond Constant Travaux Publics";42.21Z;5499;"Chapelle-Des-Bois"
gardée;"";48760827500011;"Groupement Agricole D'Exploitation En Commun Reconnu Des Pres Hauts";01.41Z;6533;"Chapelle-Des-Bois"
gardée;"";48760827500029;"Groupement Agricole D'Exploitation En Commun Reconnu Des Pres Hauts";01.41Z;6533;"Chapelle-Des-Bois"
gardée;"";32236564400036;"Groupement Forestier Chapelle Des Bois";02.20Z;6536;"Chapelle-Des-Bois"
exclue;"société civile";95307068700017;"Groupement Forestier Du Bout Du Doubs (gf Bd)";70.10Z;6536;"Chapelle-Des-Bois"
